RecordID,Gender,Faculty,Academic level,knowledge_score
0,Male,Medicine,Fourth year,0.5416666666666666
1,Male,Medicine,Fifth year,0.4305555555555555
2,Male,Dentistry,Fourth year,0.375
3,Male,Medicine,Fifth year,0.8472222222222222
4,Male,Medicine,Third year,0.4444444444444444
5,Female,Medicine,Fifth year,0.6527777777777778
6,Male,Medicine,Fourth year,0.5972222222222222
7,Female,Medicine,Fourth year,0.4305555555555556
8,Male,Medicine,Fifth year,0.4305555555555555
9,Female,Dentistry,Fourth year,0.875
10,Male,Dentistry,Second year,0.6944444444444443
11,Female,Dentistry,Fifth year,0.4861111111111111
12,Female,Dentistry,Fifth year,0.2638888888888889
13,Male,Medicine,Fourth year,0.2638888888888889
14,Male,Medicine,Fifth year,0.6388888888888888
15,Female,Medicine,First year,0.16666666666666666
16,Male,Medicine,Fourth year,0.9166666666666666
17,Male,Medicine,Fourth year,0.75
18,Male,Medicine,Fifth year,0.736111111111111
19,Male,Dentistry,Second year,0.4305555555555556
20,Male,Medicine,Fifth year,0.47222222222222215
21,Male,Medicine,Fourth year,0.638888888888889
23,Male,Medicine,First year,0.5833333333333334
24,Female,Medicine,First year,0.20833333333333334
25,Female,Medicine,Second year,0.4305555555555555
26,Female,Medicine,First year,0.0
27,Female,Medicine,First year,0.375
28,Male,Medicine,Third year,0.4305555555555555
29,Female,Dentistry,Third year,0.8472222222222222
30,Female,Medicine,Fifth year,0.5555555555555556
31,Female,Dentistry,Third year,0.2222222222222222
32,Male,Dentistry,Third year,0.2638888888888889
33,Female,Dentistry,Second year,0.6527777777777778
34,Female,Dentistry,Fourth year,0.861111111111111
35,Female,Medicine,Third year,0.5277777777777778
36,Female,Medicine,First year,0.375
37,Female,Dentistry,Second year,0.5277777777777778
38,Male,Medicine,Third year,0.5277777777777778
39,Male,Dentistry,Fourth year,0.9166666666666666
40,Female,Medicine,Second year,0.4305555555555555
41,Male,Medicine,First year,0.27777777777777773
42,Male,Medicine,Third year,0.5833333333333334
43,Female,Medicine,Third year,0.6944444444444443
44,Male,Medicine,Third year,0.638888888888889
45,Male,Medicine,Second year,0.6388888888888888
46,Female,Medicine,Third year,0.5
47,Male,Medicine,Third year,0.5972222222222222
48,Male,Medicine,Third year,0.2638888888888889
49,Female,Medicine,Third year,0.5277777777777778
50,Male,Medicine,Third year,0.3055555555555555
51,Female,Dentistry,Second year,0.6944444444444443
52,Male,Dentistry,Second year,0.2222222222222222
54,Female,Dentistry,Second year,0.2222222222222222
55,Female,Dentistry,Second year,0.5972222222222222
56,Male,Medicine,Second year,0.4861111111111111
58,Female,Dentistry,Second year,0.4861111111111111
59,Female,Dentistry,Fourth year,0.8194444444444443
60,Female,Dentistry,Fourth year,0.6527777777777778
61,Female,Dentistry,Fourth year,0.9444444444444443
62,Male,Dentistry,Fourth year,0.7083333333333334
63,Male,Dentistry,Fourth year,0.2638888888888889
64,Male,Medicine,Fourth year,0.375
65,Female,Dentistry,Fourth year,0.7083333333333334
66,Male,Medicine,Fourth year,0.6388888888888888
67,Male,Dentistry,Fourth year,0.75
68,Male,Dentistry,Fourth year,0.34722222222222215
69,Female,Dentistry,Fourth year,0.75
70,Female,Dentistry,Fourth year,1.0
71,Male,Medicine,First year,0.2222222222222222
72,Female,Dentistry,Fourth year,0.5694444444444444
73,Female,Dentistry,Third year,0.736111111111111
74,Female,Medicine,Fourth year,0.5555555555555555
75,Female,Medicine,First year,0.2638888888888889
76,Male,Medicine,Fifth year,0.625
77,Female,Medicine,Third year,0.5972222222222222
78,Male,Medicine,Fifth year,0.9583333333333334
79,Male,Medicine,Fifth year,0.9166666666666666
80,Male,Medicine,Fifth year,0.6944444444444443
81,Male,Medicine,Fifth year,0.3194444444444444
82,Male,Medicine,Fifth year,0.20833333333333334
83,Male,Medicine,Fifth year,0.4305555555555555
84,Male,Medicine,Fifth year,0.9444444444444443
85,Male,Medicine,Fifth year,0.7638888888888888
86,Female,Medicine,Fourth year,0.7916666666666666
87,Male,Medicine,Fifth year,0.6944444444444443
88,Male,Medicine,Fifth year,0.5972222222222222
89,Female,Medicine,Fourth year,0.34722222222222215
90,Male,Medicine,Second year,0.5833333333333334
91,Female,Dentistry,First year,0.7777777777777777
92,Female,Medicine,Second year,0.27777777777777773
93,Female,Medicine,Second year,0.7222222222222223
94,Male,Medicine,Fifth year,0.27777777777777773
95,Female,Medicine,First year,0.38888888888888884
96,Male,Dentistry,Fourth year,0.5694444444444444
97,Female,Medicine,Fifth year,0.5416666666666666
98,Female,Medicine,First year,0.47222222222222215
99,Female,Medicine,Fifth year,0.9444444444444443
100,Female,Medicine,First year,0.38888888888888884
101,Female,Medicine,Fifth year,0.2638888888888889
102,Female,Medicine,First year,0.5416666666666666
103,Female,Medicine,First year,0.375
104,Female,Medicine,First year,0.16666666666666666
105,Male,Medicine,Fifth year,0.5833333333333334
106,Female,Medicine,First year,0.3194444444444444
107,Female,Medicine,First year,0.4444444444444444
108,Female,Medicine,Fourth year,0.4305555555555555
109,Male,Medicine,First year,0.0
110,Male,Medicine,Third year,0.3055555555555555
111,Female,Medicine,Second year,0.3333333333333333
112,Male,Medicine,First year,0.6527777777777778
113,Male,Dentistry,Fourth year,0.861111111111111
114,Female,Medicine,First year,0.7916666666666666
115,Female,Medicine,First year,0.3333333333333333
116,Female,Medicine,First year,0.2638888888888889
117,Male,Medicine,Fifth year,0.6944444444444443
118,Female,Medicine,Third year,0.7777777777777777
119,Female,Dentistry,First year,0.4444444444444444
120,Female,Dentistry,First year,0.2638888888888889
121,Female,Medicine,Fourth year,0.3194444444444444
122,Female,Dentistry,First year,0.3194444444444444
123,Female,Dentistry,First year,0.20833333333333334
124,Female,Dentistry,First year,0.27777777777777773
125,Male,Medicine,Fifth year,0.05555555555555555
127,Male,Medicine,Fourth year,0.3194444444444444
128,Female,Medicine,Fourth year,0.5972222222222222
129,Female,Medicine,Third year,0.5833333333333334
130,Female,Medicine,Third year,0.20833333333333334
131,Female,Medicine,Fourth year,0.20833333333333334
132,Female,Medicine,Fourth year,0.6944444444444443
133,Female,Medicine,Fourth year,0.5972222222222222
134,Female,Medicine,Fourth year,0.6388888888888888
135,Female,Medicine,Third year,0.4861111111111111
136,Female,Medicine,Fourth year,0.5833333333333334
137,Female,Dentistry,Fifth year,0.5694444444444444
138,Female,Medicine,Third year,0.1111111111111111
139,Female,Medicine,Third year,0.3611111111111111
140,Female,Medicine,Fourth year,0.3333333333333333
141,Female,Medicine,Fourth year,0.3333333333333333
142,Female,Medicine,Third year,0.7916666666666666
143,Female,Medicine,Fourth year,0.4305555555555555
144,Female,Medicine,Third year,0.38888888888888884
145,Female,Medicine,Third year,0.47222222222222215
146,Female,Medicine,Third year,0.47222222222222215
147,Female,Medicine,Third year,0.7083333333333334
148,Female,Medicine,Fourth year,0.6388888888888888
149,Female,Medicine,Fourth year,1.0
150,Male,Medicine,Fourth year,0.38888888888888884
151,Female,Medicine,Fourth year,0.6388888888888888
152,Female,Medicine,Third year,0.4166666666666667
153,Male,Medicine,Fourth year,0.9027777777777777
154,Female,Medicine,Fourth year,0.27777777777777773
155,Female,Dentistry,Fifth year,1.0
156,Male,Dentistry,Third year,0.2638888888888889
157,Female,Medicine,Third year,0.47222222222222215
158,Female,Medicine,First year,0.05555555555555555
159,Female,Medicine,Fourth year,0.5416666666666666
160,Male,Medicine,Third year,0.4305555555555555
161,Male,Medicine,Third year,0.3888888888888889
162,Female,Medicine,First year,0.375
163,Male,Medicine,Fifth year,0.40277777777777773
164,Male,Medicine,Fifth year,0.5277777777777778
165,Female,Medicine,Third year,0.16666666666666666
166,Female,Medicine,Third year,0.5833333333333334
167,Male,Medicine,Fifth year,0.6388888888888888
168,Male,Dentistry,Second year,0.5694444444444444
169,Female,Medicine,Fourth year,0.47222222222222227
170,Female,Medicine,Fourth year,0.5138888888888888
171,Female,Medicine,Fourth year,0.15277777777777776
172,Female,Dentistry,Fourth year,0.9166666666666666
173,Female,Medicine,Fifth year,0.20833333333333334
174,Male,Medicine,Fifth year,0.7916666666666666
175,Male,Medicine,Second year,0.38888888888888884
176,Male,Medicine,Second year,0.5416666666666666
177,Female,Medicine,First year,0.27777777777777773
178,Female,Medicine,Third year,0.4166666666666667
179,Female,Medicine,First year,0.40277777777777773
180,Male,Medicine,First year,0.5416666666666666
182,Female,Medicine,Second year,0.16666666666666666
183,Female,Medicine,Second year,0.5555555555555555
184,Female,Medicine,Second year,0.4444444444444444
185,Female,Medicine,Second year,0.5416666666666666
186,Female,Medicine,First year,0.3333333333333333
187,Female,Medicine,Second year,0.625
188,Male,Medicine,Second year,0.4305555555555555
189,Female,Medicine,Fifth year,0.4166666666666667
190,Male,Medicine,Fourth year,0.7638888888888888
191,Female,Medicine,Third year,0.15277777777777776
192,Female,Medicine,Third year,0.5416666666666666
193,Female,Medicine,Third year,0.6527777777777778
194,Male,Medicine,First year,0.2638888888888889
195,Male,Medicine,Second year,0.5555555555555556
196,Female,Medicine,Third year,0.3611111111111111
197,Female,Medicine,Third year,0.6388888888888888
198,Female,Medicine,Third year,0.4861111111111111
199,Female,Medicine,Fourth year,0.5694444444444444
200,Female,Medicine,Third year,0.375
201,Female,Medicine,Third year,0.1111111111111111
202,Female,Medicine,Fifth year,0.4444444444444444
203,Female,Medicine,Third year,0.736111111111111
204,Female,Medicine,Third year,0.6666666666666666
205,Female,Medicine,Fourth year,0.5833333333333334
206,Female,Medicine,Fourth year,0.8055555555555555
207,Female,Medicine,Fourth year,0.736111111111111
208,Female,Medicine,Third year,0.2638888888888889
209,Female,Medicine,Third year,0.6388888888888888
210,Female,Medicine,Fifth year,0.7916666666666666
211,Female,Medicine,First year,0.5
212,Female,Medicine,Fifth year,0.2222222222222222
213,Female,Medicine,Fifth year,0.8055555555555555
214,Male,Medicine,Fifth year,0.47222222222222215
215,Female,Medicine,First year,0.4166666666666667
216,Female,Medicine,First year,0.861111111111111
217,Female,Medicine,First year,0.5833333333333334
218,Female,Medicine,First year,0.3194444444444444
219,Female,Medicine,First year,0.7777777777777777
220,Female,Medicine,Third year,0.5972222222222222
221,Female,Medicine,Second year,0.16666666666666666
222,Female,Medicine,First year,0.16666666666666666
223,Female,Medicine,Third year,0.20833333333333334
224,Female,Medicine,Fifth year,0.6944444444444445
225,Female,Medicine,Third year,0.4166666666666667
226,Female,Medicine,First year,0.375
227,Female,Medicine,Third year,0.5
228,Female,Dentistry,Fourth year,0.2638888888888889
229,Female,Dentistry,Second year,0.3611111111111111
230,Female,Medicine,Second year,0.3194444444444444
231,Female,Dentistry,Second year,0.4305555555555556
232,Female,Medicine,Second year,0.5833333333333334
233,Female,Medicine,Fifth year,0.375
234,Female,Medicine,Fifth year,0.27777777777777773
235,Male,Medicine,Second year,0.375
236,Female,Dentistry,Second year,0.5
237,Female,Dentistry,First year,0.375
238,Female,Medicine,Second year,0.3333333333333333
239,Female,Medicine,Second year,0.5
240,Female,Medicine,Third year,0.8055555555555555
241,Female,Dentistry,Second year,0.5555555555555555
242,Female,Medicine,Third year,0.15277777777777776
243,Female,Medicine,Third year,0.3194444444444444
244,Female,Medicine,Fourth year,0.1111111111111111
245,Female,Dentistry,Second year,0.16666666666666666
246,Female,Medicine,Fourth year,0.4305555555555555
247,Female,Medicine,Third year,0.4444444444444444
248,Female,Medicine,Fifth year,0.4305555555555555
249,Female,Medicine,Fifth year,0.8055555555555555
250,Male,Medicine,Fifth year,0.5833333333333334
251,Female,Dentistry,Fifth year,0.5416666666666666
252,Female,Dentistry,Third year,0.8194444444444443
253,Female,Dentistry,Fourth year,0.625
254,Female,Dentistry,Fifth year,0.9444444444444443
255,Female,Dentistry,Fourth year,0.8472222222222222
256,Female,Dentistry,Fifth year,0.6388888888888888
257,Female,Dentistry,Third year,0.736111111111111
258,Female,Medicine,Second year,0.3194444444444444
259,Female,Medicine,Second year,0.9027777777777777
260,Female,Dentistry,Fifth year,0.4583333333333333
261,Female,Dentistry,Fifth year,0.4166666666666667
262,Female,Medicine,Second year,0.5
263,Male,Medicine,Fourth year,0.861111111111111
264,Male,Medicine,Fourth year,0.7083333333333334
265,Male,Medicine,Fourth year,0.47222222222222215
266,Female,Medicine,Fourth year,0.375
267,Female,Medicine,Second year,0.5
268,Male,Medicine,First year,0.2638888888888889
269,Female,Medicine,Fifth year,0.375
270,Male,Medicine,Fourth year,0.7777777777777777
271,Female,Medicine,Fourth year,0.5833333333333334
272,Female,Medicine,Third year,0.9166666666666666
273,Female,Medicine,Third year,0.6111111111111112
274,Female,Medicine,Third year,0.5277777777777778
275,Female,Medicine,Third year,0.7916666666666666
276,Female,Medicine,Third year,0.5833333333333334
277,Female,Medicine,Second year,0.75
278,Male,Medicine,Third year,0.7916666666666666
279,Female,Medicine,Fifth year,0.4861111111111111
280,Female,Medicine,Fifth year,0.5833333333333334
281,Female,Medicine,Fourth year,0.9027777777777777
282,Female,Medicine,Third year,0.875
283,Male,Medicine,Fourth year,0.8333333333333334
284,Female,Medicine,Fourth year,0.6805555555555557
285,Female,Medicine,Third year,0.8333333333333334
286,Male,Medicine,Third year,0.4861111111111111
287,Female,Medicine,First year,0.4861111111111111
288,Male,Medicine,First year,0.27777777777777773
289,Female,Medicine,Fourth year,0.6388888888888888
290,Female,Medicine,Fourth year,0.6527777777777778
291,Male,Medicine,Third year,0.7916666666666666
292,Female,Medicine,Fourth year,0.47222222222222215
293,Female,Medicine,Second year,0.3194444444444444
294,Female,Medicine,Fourth year,0.5277777777777778
295,Female,Medicine,Fourth year,0.6944444444444443
296,Female,Medicine,Third year,0.861111111111111
297,Female,Medicine,Fifth year,0.736111111111111
298,Female,Medicine,Fourth year,0.4583333333333333
299,Female,Medicine,Third year,0.4166666666666667
300,Female,Medicine,Second year,0.6944444444444443
301,Female,Medicine,Fifth year,0.375
302,Female,Medicine,Second year,0.16666666666666666
303,Female,Medicine,Second year,0.6527777777777778
304,Female,Medicine,Fourth year,0.8055555555555555
305,Male,Medicine,Third year,0.5277777777777778
306,Female,Medicine,Second year,0.5277777777777778
307,Female,Dentistry,First year,0.638888888888889
308,Female,Medicine,First year,0.27777777777777773
310,Female,Medicine,Second year,0.6388888888888888
311,Female,Medicine,Second year,0.6527777777777778
312,Female,Medicine,Second year,0.6944444444444443
313,Female,Medicine,Second year,0.3055555555555555
314,Female,Medicine,Third year,0.5833333333333334
315,Female,Medicine,Third year,0.6388888888888888
316,Female,Medicine,Third year,0.5277777777777778
317,Female,Medicine,Third year,0.638888888888889
318,Female,Medicine,Third year,0.4861111111111111
319,Female,Medicine,Third year,0.9027777777777777
320,Female,Medicine,First year,0.6666666666666666
321,Female,Medicine,Third year,0.47222222222222215
322,Female,Medicine,Third year,0.5972222222222222
323,Female,Medicine,First year,0.27777777777777773
324,Female,Medicine,Third year,0.15277777777777776
325,Female,Medicine,First year,0.9027777777777777
326,Female,Medicine,Second year,0.6666666666666666
327,Female,Medicine,Second year,0.5416666666666666
328,Female,Medicine,Second year,0.6388888888888888
329,Female,Medicine,Third year,0.5555555555555555
330,Female,Medicine,Second year,0.5
331,Female,Medicine,Fourth year,0.3333333333333333
332,Female,Medicine,First year,0.4305555555555555
333,Female,Medicine,Third year,0.27777777777777773
334,Female,Medicine,Third year,0.375
335,Female,Medicine,Third year,0.3194444444444444
336,Female,Medicine,Third year,0.6666666666666666
337,Female,Medicine,Second year,0.27777777777777773
338,Female,Medicine,Third year,0.8472222222222223
339,Female,Medicine,Third year,0.6527777777777778
340,Female,Medicine,Third year,0.6388888888888888
341,Female,Medicine,Third year,0.5833333333333334
342,Female,Medicine,Third year,0.2638888888888889
343,Female,Medicine,Third year,0.5694444444444444
344,Female,Medicine,Fifth year,0.1111111111111111
345,Female,Medicine,First year,0.2222222222222222
346,Female,Medicine,Fifth year,0.5833333333333334
347,Female,Medicine,Fifth year,0.5972222222222222
348,Female,Medicine,Fifth year,0.736111111111111
349,Female,Medicine,Fifth year,0.9583333333333334
350,Female,Medicine,Fourth year,0.4861111111111111
351,Female,Medicine,Third year,0.375
352,Female,Medicine,Fifth year,0.6527777777777778
353,Female,Medicine,Fifth year,0.5138888888888888
354,Female,Medicine,Second year,0.7916666666666666
355,Female,Medicine,Fifth year,0.625
356,Female,Medicine,Fifth year,0.3055555555555555
357,Female,Medicine,Fifth year,0.7638888888888888
358,Female,Medicine,Second year,0.3333333333333333
359,Female,Medicine,Fifth year,0.5833333333333334
360,Female,Medicine,Second year,0.5972222222222222
361,Female,Medicine,Fifth year,0.47222222222222215
362,Female,Medicine,Fifth year,0.7083333333333334
363,Female,Medicine,Fifth year,0.5416666666666666
364,Female,Medicine,Fifth year,0.375
365,Female,Medicine,Fifth year,0.6388888888888888
366,Female,Medicine,Third year,0.6527777777777778
367,Female,Medicine,Fifth year,0.7638888888888888
368,Female,Medicine,Fifth year,0.2638888888888889
369,Female,Medicine,Fifth year,0.5416666666666666
370,Female,Medicine,Fifth year,0.9583333333333334
371,Female,Medicine,Third year,0.47222222222222215
372,Female,Medicine,Fifth year,0.7777777777777777
374,Female,Medicine,Third year,0.6944444444444443
375,Female,Medicine,Third year,0.8194444444444443
376,Male,Medicine,Third year,0.375
377,Female,Medicine,Fifth year,0.6527777777777778
378,Female,Medicine,Fifth year,0.513888888888889
379,Female,Medicine,Third year,0.375
380,Female,Medicine,Third year,0.5277777777777778
381,Female,Medicine,Third year,0.5277777777777778
382,Female,Medicine,Third year,0.8472222222222222
383,Female,Medicine,Third year,0.47222222222222215
384,Female,Medicine,Second year,0.8194444444444443
385,Female,Medicine,Fifth year,0.6527777777777778
386,Female,Medicine,Third year,0.5972222222222222
387,Female,Medicine,Fourth year,0.6388888888888888
388,Female,Medicine,Fourth year,0.75
389,Female,Medicine,Fifth year,0.7777777777777777
390,Female,Medicine,Fifth year,0.638888888888889
391,Female,Medicine,Fifth year,0.5555555555555555
392,Female,Medicine,Fifth year,0.6527777777777778
393,Female,Medicine,Fifth year,0.8055555555555557
394,Female,Medicine,Third year,0.375
395,Female,Medicine,Third year,0.4305555555555555
396,Female,Medicine,Fifth year,0.638888888888889
397,Male,Medicine,Third year,0.5416666666666666
398,Female,Medicine,Fourth year,0.47222222222222215
399,Female,Medicine,Third year,0.6944444444444443
400,Female,Medicine,Fifth year,0.6666666666666666
401,Female,Medicine,Fifth year,0.4305555555555555
402,Female,Medicine,Fifth year,0.6944444444444443
403,Male,Medicine,Fourth year,0.6944444444444443
404,Male,Medicine,Fourth year,0.6944444444444443
405,Female,Medicine,Fifth year,0.7083333333333334
406,Male,Medicine,Fourth year,0.7777777777777777
407,Female,Medicine,Fifth year,0.6527777777777778
